,date,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WV,WI,WY
0,02-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,02-15-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,03-01-2020,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0
3,03-15-2020,21,17,17,17,19,49,86,70,32,31,36,13,15,29,46,31,14,13,110,138,27,22,79,10,25,31,18,14,15,8,25,209,14,36,384,18,14,15,38,44,20,11,34,13,27,14,45,64,8,23,18
4,04-01-2020,66,22,37,34,46,93,325,242,175,74,105,22,47,54,145,101,36,35,358,374,138,34,212,21,56,81,19,37,31,37,57,587,55,69,709,47,42,23,170,261,50,120,50,42,52,61,74,73,29,39,30
5,04-15-2020,58,8,51,56,59,122,362,302,281,52,107,6,163,29,222,132,99,55,129,450,193,24,143,59,48,115,4,54,92,175,74,534,91,60,460,87,34,20,165,507,47,145,72,44,67,109,17,44,23,53,47
6,05-01-2020,88,5,76,39,67,104,234,362,272,49,99,1,218,20,293,131,119,61,125,288,252,37,103,162,47,133,1,68,91,276,96,284,107,55,212,76,37,24,126,340,45,162,91,59,70,150,10,48,17,83,27
7,05-15-2020,137,11,94,92,89,90,171,274,219,56,97,0,174,27,234,118,62,50,130,151,261,53,89,189,44,158,4,108,107,232,88,184,96,62,127,73,33,16,93,256,67,125,82,65,91,187,7,49,31,115,32
8,06-01-2020,169,35,235,187,110,51,84,142,87,99,107,5,143,31,100,87,55,65,155,63,153,36,33,104,49,143,8,162,68,142,51,74,102,88,67,51,50,37,58,110,147,105,124,88,152,120,23,59,17,77,30
9,06-15-2020,245,53,591,260,191,59,35,75,117,352,217,12,158,154,79,77,104,66,234,40,91,33,46,99,84,249,33,201,62,120,32,51,109,235,48,87,135,67,58,68,334,94,184,254,240,92,12,88,32,98,70
10,07-01-2020,444,112,726,315,312,95,31,99,162,701,442,26,236,360,114,116,205,113,558,44,123,24,81,132,134,379,106,261,130,145,24,51,176,395,54,149,229,105,86,78,508,100,377,445,274,126,17,135,91,173,86
11,07-15-2020,574,236,594,405,368,151,60,156,179,791,556,57,260,471,174,191,240,212,689,62,220,24,116,191,335,675,175,301,250,219,34,60,227,580,56,186,346,129,113,130,526,126,545,517,294,192,15,169,111,244,128
12,08-01-2020,381,174,259,314,296,105,30,147,166,466,464,191,231,385,202,202,223,196,438,61,187,17,112,177,267,435,159,215,259,208,29,64,128,412,50,141,286,107,91,124,331,153,380,380,193,186,15,147,104,208,86
13,08-15-2020,400,158,128,306,238,80,55,118,106,252,335,256,414,262,242,216,299,211,260,71,141,28,112,204,304,374,165,239,443,209,21,50,97,284,50,132,277,88,80,152,257,384,342,303,183,174,18,102,98,181,107
14,09-01-2020,269,154,102,340,140,82,60,98,176,213,252,176,335,212,232,194,253,214,222,63,148,29,119,169,342,253,171,187,558,242,35,61,74,158,56,139,319,70,95,123,284,395,299,212,218,175,12,77,151,270,102
15,09-15-2020,309,207,129,404,128,148,70,90,152,176,199,113,428,355,230,191,384,242,176,97,123,35,130,245,327,256,360,175,760,341,38,88,119,195,66,124,402,91,101,141,284,611,308,281,444,149,8,93,158,532,261
16,10-01-2020,308,345,142,425,123,199,125,119,201,180,173,95,469,488,305,316,381,343,203,137,146,33,189,320,423,333,740,272,1027,511,85,131,263,263,106,186,421,119,143,254,258,977,394,232,551,172,24,114,179,688,420
17,10-15-2020,486,673,239,519,161,446,256,156,247,270,233,93,774,797,642,570,503,515,208,246,194,61,405,558,544,402,1117,343,1876,793,122,234,550,421,144,340,479,152,236,514,305,1697,559,337,765,214,44,150,297,1299,852
18,11-01-2020,495,1011,411,691,252,984,488,243,398,388,610,103,1831,1005,1232,1079,1051,679,383,430,341,170,784,1338,955,473,1351,362,2615,1421,265,464,845,640,269,704,795,285,436,818,371,2197,742,460,1238,243,113,299,509,1583,1591
19,11-15-2020,648,1188,716,806,500,1220,801,366,708,535,442,103,1404,1108,1198,1305,1454,927,598,548,536,210,1131,1696,1006,634,1415,503,2033,1567,465,651,1569,1054,449,1051,1106,442,766,1437,432,1709,938,575,1325,421,204,464,785,1407,1871
