,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,index
0,-0.23626373626373626,-0.20889613414066138,-0.1700787401574803,-0.11716317635106348,-0.09035672285378284,-0.049062049062049064,-0.06477732793522267,-0.06834788807699162,-0.20179063360881544,-0.09539825714722519,-0.23529411764705882,-0.12946979038224415,-0.12201392608462774,-0.11782231852654387,-0.23994577496610936,-0.14386239249413604,-0.15459795646379387,-0.12751004016064257,-0.3602941176470588,-0.09841795437821928,-0.00487417819088642,-0.1828531999309988,-0.12216271359347106,-0.18804347826086956,-0.09665427509293681,-0.3786407766990291,-0.15345080763582966,-0.1810344827586207,-0.1496149614961496,-0.06725930895672592,-0.2325020112630732,-0.11875200113842542,-0.10536933581626319,-0.09359605911330049,-0.1472810786783227,-0.20126984126984127,-0.22968515742128937,-0.1308641975308642,-0.04233409610983982,-0.17746113989637305,-0.29526462395543174,-0.12700803212851405,-0.1471992808584752,-0.1888111888111888,-0.22523961661341854,-0.13236799765979232,-0.1477086348287506,-0.13075506445672191,-0.16676136363636362,-0.19421487603305784,2020-05-01
1,-0.3812785388127854,-0.23453237410071942,-0.1724415793714746,-0.1520471870580525,-0.14457831325301204,-0.08951406649616368,-0.14880201765447668,-0.046967667878324085,-0.2476552032157213,-0.158097068716963,-0.2660455486542443,-0.1664626682986536,-0.11844569288389513,-0.17104495037945125,-0.35774647887323946,-0.16526273565984756,-0.23418367346938776,-0.14933058702368693,-0.32741792369121564,-0.1099899091826438,-0.01827741612418628,-0.18354314906039043,-0.2278125,-0.31797752808988766,-0.18912529550827423,-0.3403880070546737,-0.20590582601755786,-0.2261705685618729,-0.17614269788182832,-0.13073394495412843,-0.20131086142322097,-0.12203677719518499,-0.14972155926809866,-0.2,-0.18426328098897427,-0.27462257368799425,-0.2421643022104916,-0.19430874450415242,-0.14032697547683923,-0.24764756201881952,-0.31025641025641026,-0.18933476972798277,-0.21460261123082774,-0.20964962665134979,-0.1590493601462523,-0.1212640099626401,-0.13852312230064256,-0.19413919413919414,-0.22841316389703487,-0.3888888888888889,2020-05-16
2,-0.37166324435318276,-0.31811646297627605,-0.2260409781890284,-0.211024578450986,-0.2105527638190955,-0.1185911725367811,-0.1144927536231884,-0.08062138564463091,-0.2592938136931247,-0.15090252707581228,-0.2857142857142857,-0.1530120481927711,-0.13890752919071267,-0.17438173747622068,-0.3308139534883721,-0.1748991935483871,-0.20986920332936979,-0.025543478260869567,-0.2924819773429454,-0.13248166548379464,-0.0518401833023056,-0.1869604725124943,-0.15973676338618006,-0.19801980198019803,-0.17683194383501535,-0.3745247148288973,-0.16162570888468808,-0.27463503649635035,-0.17701453104359313,-0.16295379537953794,-0.19042769857433808,-0.14759766323570322,-0.1818332504558263,-0.2648648648648649,-0.1652595652954913,-0.3337378640776699,-0.31612162937464144,-0.1822892851699436,-0.12364760432766615,-0.26699226699226697,-0.10725552050473186,-0.2278773857721226,-0.22006111176401458,-0.16987542468856173,-0.23992994746059546,-0.12574074074074074,-0.167492795389049,-0.30284552845528456,-0.25893186003683244,-0.2714285714285714,2020-05-31
3,-0.4311740890688259,-0.39024037069215173,-0.3086496577473553,-0.3069544364508393,-0.28419142662735314,-0.2147399925177703,-0.19808743169398907,-0.17489800300622718,-0.3509746588693957,-0.2843329596412556,-0.3591304347826087,-0.2791828793774319,-0.23974389376333888,-0.25833333333333336,-0.36879076768690416,-0.30335777692010807,-0.3347517730496454,-0.17265026220250101,-0.3857913669064748,-0.20783257355988397,-0.15940474594449658,-0.31938012112575703,-0.3156267566048342,-0.3253493013972056,-0.27415730337078653,-0.44630404463040446,-0.22253787878787878,-0.30568356374807987,-0.28760529482551145,-0.24995391705069125,-0.36379310344827587,-0.21806417436052672,-0.2755147385572508,-0.38819875776397517,-0.2838196286472148,-0.35864978902953587,-0.33128670581954084,-0.27783191230207066,-0.24884080370942813,-0.3438120450033091,-0.3773006134969325,-0.3173381620642825,-0.3480751947273817,-0.18937969924812031,-0.33189655172413796,-0.2574082972929681,-0.282000417623721,-0.3795918367346939,-0.3796895213454075,-0.30111524163568776,2020-06-15
4,-0.39697542533081287,-0.39296187683284456,-0.34862932061978547,-0.31890401614416053,-0.3182702702702703,-0.21037463976945245,-0.2114047287899861,-0.17804257288292458,-0.3505318899667276,-0.32603857566765576,-0.4041994750656168,-0.2591549295774648,-0.26347015377164307,-0.3127035830618892,-0.39287506271951833,-0.2755681818181818,-0.4180457052797478,-0.26103065005052206,-0.36256781193490056,-0.23167595370767252,-0.22063208109719737,-0.3526165895336419,-0.307713574785734,-0.35816876122082586,-0.32518864534674813,-0.43081312410841655,-0.26162260711030083,-0.39523169912693085,-0.3114942528735632,-0.30446773303916164,-0.36267870579382994,-0.26500663492311294,-0.29418488355479355,-0.29380053908355797,-0.3447888904474681,-0.36104398260028997,-0.370918487197557,-0.30138797091870456,-0.20802377414561665,-0.3530722699777141,-0.30368098159509205,-0.3403268551236749,-0.33371824480369516,-0.2759615384615385,-0.36617405582922824,-0.3049355548569632,-0.2929162635708911,-0.34328358208955223,-0.32440012464942347,-0.39826839826839827,2020-06-30
5,-0.3772357723577236,-0.3868079663804129,-0.2845528455284553,-0.28607331126639696,-0.2857755846384896,-0.2563162184189079,-0.18685567010309279,-0.19523860133914336,-0.3644316396018858,-0.29092140921409215,-0.41567291311754684,-0.21322803553800593,-0.30052981625521363,-0.2957495545940443,-0.4015544041450777,-0.295269770879527,-0.3689209726443769,-0.3120255693168198,-0.38926174496644295,-0.23972999035679846,-0.1863086127730625,-0.3652370990237099,-0.316970176827659,-0.3252895752895753,-0.27759084791386274,-0.4107402031930334,-0.3565950920245399,-0.3928439690151236,-0.3805970149253731,-0.2822565630236455,-0.3528441879637263,-0.27779306008566823,-0.2581425117337505,-0.38247863247863245,-0.34125412541254124,-0.37590861889927313,-0.42249551626953624,-0.29297205757832345,-0.29521276595744683,-0.3301005747126437,-0.4978902953586498,-0.339918533604888,-0.3272236950361093,-0.31425091352009743,-0.35376532399299476,-0.26924743608262314,-0.2841552990556139,-0.3484626647144949,-0.35827250608272504,-0.4226415094339623,2020-07-15
6,-0.3474426807760141,-0.38283699059561127,-0.2767548906789413,-0.261353711790393,-0.24376490999783126,-0.18794178794178795,-0.10866372980910426,-0.18315634528440752,-0.3366507507334752,-0.2962046204620462,-0.43059490084985835,-0.19699812382739212,-0.2726435723328346,-0.3185040332437057,-0.3881443298969072,-0.2697228144989339,-0.36972972972972973,-0.2906341873162537,-0.3740942028985507,-0.18945699564011098,-0.1377113133940182,-0.33034202505926175,-0.2950432730133753,-0.2794348508634223,-0.03008130081300813,-0.35563380281690143,-0.29210526315789476,-0.3677217663149668,-0.25476190476190474,-0.2803886925795053,-0.2975567190226876,-0.21119030376948583,-0.2553310104529617,-0.32264957264957267,-0.30901608679386455,-0.39584415584415583,-0.35833333333333334,-0.22265961372862592,-0.11616954474097331,-0.31193326079071454,-0.441588785046729,-0.2894572676232065,-0.2927626901748898,-0.3134160090191657,-0.2318840579710145,-0.19543773119605426,-0.26519894970712987,-0.41331658291457285,-0.35395087303936074,-0.41471571906354515,2020-07-30
7,-0.3695652173913043,-0.3165408933306139,-0.2047677261613692,-0.25118942998272675,-0.2467650397275823,-0.2129491017964072,-0.1289308176100629,-0.1795,-0.31583733922307394,-0.2755741127348643,-0.31746031746031744,-0.22331047992164543,-0.2584897229669348,-0.2994306418219462,-0.39702143116600075,-0.2558139534883721,-0.3269671504965623,-0.3118167621030713,-0.4616977225672878,-0.19049578276074883,-0.13711873638344227,-0.32270202472675147,-0.3165596919127086,-0.33565823888404533,-0.08340425531914894,-0.5091533180778032,-0.2809457579972184,-0.3339798293250582,-0.30606060606060603,-0.23781303766010323,-0.2920662598081953,-0.24546065904505715,-0.21289690865855365,-0.2629558541266795,-0.2624933545986178,-0.34528907922912205,-0.3819362455726092,-0.23496645144955058,-0.20508474576271185,-0.30656660412757974,-0.3483670295489891,-0.3083962479981698,-0.2963673057517659,-0.2678843226788432,-0.2670906200317965,-0.21988472622478386,-0.26682478505781204,-0.39064856711915535,-0.2845953002610966,-0.15918367346938775,2020-08-14
8,-0.4431818181818182,-0.4219443323920936,-0.3026724673710379,-0.3318833727344366,-0.3451620013224598,-0.30849292256452954,-0.27631578947368424,-0.22775067750677508,-0.38775243448140645,-0.33741109530583213,-0.37142857142857144,-0.272145144076841,-0.29297057449789815,-0.3277949873275134,-0.40888689407540396,-0.3060221220811143,-0.346751693901953,-0.337322695035461,-0.4665032679738562,-0.25097529258777634,-0.1691366417403127,-0.38037249283667623,-0.3360974345685411,-0.35430157261794637,-0.252003847386983,-0.46008708272859217,-0.3444709626093874,-0.4097079391197038,-0.38250254323499494,-0.28014592933947774,-0.39315525876460766,-0.2848746081504702,-0.3007303906001905,-0.2815126050420168,-0.3368015963511973,-0.4380165289256198,-0.4217071791972866,-0.3135480436518499,-0.1847041847041847,-0.3763318112633181,-0.41681574239713776,-0.317500576435324,-0.38373039561512995,-0.309258043335522,-0.38110236220472443,-0.27304747320061257,-0.25801691914223884,-0.46192259675405745,-0.38575589091871854,-0.36929460580912865,2020-08-29
9,-0.3925318761384335,-0.32575243267707626,-0.28889728096676737,-0.24553672513193875,-0.24776839565741857,-0.2144664698439477,-0.15345699831365936,-0.14288740599512764,-0.353612041242582,-0.2474035033328166,-0.3258746948738812,-0.2688008130081301,-0.20803739452437323,-0.2889443547203054,-0.34850709740577585,-0.27438307873090484,-0.3469586374695864,-0.3107874598864478,-0.3907092492741601,-0.1699131907685793,-0.11250613733604545,-0.3115487062404871,-0.27168513565150937,-0.49954212454212454,-0.2978227060653188,-0.4276018099547511,-0.2646321070234114,-0.3532796317606444,-0.3022988505747126,-0.21747845259571055,-0.33288288288288287,-0.20937022377238704,-0.23885191347753743,-0.2691001697792869,-0.28526161218023033,-0.3545305676855895,-0.3774576016809245,-0.26096019803270143,-0.22214234363767074,-0.31558226274347284,-0.41455160744500846,-0.3359507917811805,-0.316193835759768,-0.3301215875200734,-0.2879746835443038,-0.19135985748218529,-0.21149941220476648,-0.3892580287929125,-0.3362807781254251,-0.4658273381294964,2020-09-13
