,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,index
0,-86,-897,-216,-3575,-461,-136,-48,-767,-2930,-624,-252,-105,-1139,-435,-531,-368,-348,-254,-392,-535,-43,-1060,-479,-173,-260,-234,-209,-399,-136,-401,-289,-3338,-679,-38,-994,-317,-766,-1060,-37,-411,-106,-506,-2620,-351,-141,-905,-1531,-71,-587,-47,2020-05-01
1,-167,-978,-214,-4408,-648,-245,-118,-491,-3327,-987,-257,-136,-1012,-586,-762,-412,-459,-290,-369,-545,-146,-1006,-729,-283,-480,-193,-258,-541,-158,-741,-215,-3305,-941,-75,-1103,-382,-734,-1591,-103,-579,-121,-703,-3386,-365,-87,-779,-1315,-106,-701,-77,2020-05-16
2,-181,-1770,-342,-5907,-838,-266,-79,-711,-3613,-836,-306,-127,-1035,-550,-569,-347,-353,-47,-284,-560,-362,-823,-534,-160,-403,-197,-171,-602,-134,-790,-187,-3714,-1097,-98,-920,-550,-1102,-1196,-80,-656,-34,-788,-3745,-300,-137,-679,-1453,-149,-703,-57,2020-05-31
3,-213,-2695,-496,-10624,-1253,-574,-145,-1629,-7202,-2029,-413,-287,-2022,-930,-735,-786,-708,-428,-429,-1003,-1189,-1793,-1123,-326,-732,-320,-235,-995,-239,-1356,-422,-5763,-1860,-125,-2033,-765,-1241,-2281,-161,-1039,-123,-1402,-9295,-403,-231,-1607,-2701,-186,-1174,-81,2020-06-15
4,-210,-2546,-585,-11220,-1472,-511,-152,-1539,-7480,-2637,-462,-276,-2176,-1152,-783,-679,-1061,-775,-401,-1081,-1480,-1981,-1113,-399,-905,-302,-287,-1177,-271,-1656,-482,-6790,-2059,-109,-2458,-747,-1579,-2280,-140,-1109,-99,-1541,-7803,-574,-223,-1940,-2725,-207,-1041,-92,2020-06-30
5,-232,-2117,-455,-9334,-1332,-629,-145,-1837,-6957,-2147,-488,-216,-2666,-1162,-775,-799,-971,-781,-406,-1243,-1339,-2095,-1201,-337,-825,-283,-465,-1065,-357,-1516,-428,-7069,-1815,-179,-2585,-724,-1649,-2422,-222,-919,-236,-1669,-7159,-516,-202,-1864,-2708,-238,-1178,-112,2020-07-15
6,-197,-1954,-481,-8379,-1124,-452,-74,-1742,-5852,-2513,-608,-210,-2369,-1303,-753,-759,-1026,-692,-413,-956,-1059,-1951,-1125,-356,-111,-303,-444,-941,-214,-1587,-341,-5541,-1832,-151,-2478,-762,-1290,-1810,-74,-860,-189,-1392,-6177,-556,-144,-1268,-2626,-329,-1196,-124,2020-07-30
7,-204,-1552,-335,-8289,-1087,-569,-82,-1795,-4862,-2244,-520,-228,-2314,-1157,-1093,-671,-856,-599,-669,-926,-1007,-1801,-1233,-385,-294,-445,-404,-861,-303,-1244,-335,-6570,-1522,-137,-1975,-645,-1294,-1856,-121,-817,-224,-1348,-5874,-528,-168,-1526,-2700,-259,-872,-39,2020-08-14
8,-234,-2092,-487,-10529,-1566,-741,-210,-2101,-5933,-2372,-520,-255,-2509,-1164,-911,-747,-870,-761,-571,-1158,-1244,-2124,-1297,-383,-786,-317,-433,-996,-376,-1459,-471,-7270,-1894,-134,-2363,-795,-1492,-2356,-128,-989,-233,-1377,-7071,-471,-242,-1783,-2623,-370,-1457,-89,2020-08-29
9,-431,-2879,-765,-14097,-2054,-1017,-182,-2698,-10666,-3192,-801,-529,-3427,-1968,-1424,-1401,-1426,-1259,-942,-1605,-1604,-3275,-2133,-1091,-1915,-756,-633,-1535,-526,-2170,-739,-10685,-2871,-317,-3691,-1299,-2515,-4006,-309,-1523,-490,-2567,-10577,-1439,-364,-2578,-3958,-703,-2472,-259,2020-09-13
10,-333,-2929,-483,-11803,-1963,-877,-200,-2999,-8145,-2597,-609,-290,-3159,-1360,-807,-1079,-997,-854,-612,-1483,-1824,-2503,-1396,-395,-1050,-469,-460,-1092,-471,-1716,-530,-9666,-2228,-261,-2704,-746,-1774,-2884,-218,-1124,-242,-1869,-7054,-836,-250,-2275,-3560,-358,-1784,-135,2020-09-28
11,-231,-1865,-444,-8097,-1618,-772,-86,-1851,-6638,-1854,-594,-232,-3296,-1357,-845,-869,-868,-797,-624,-1116,-1333,-2166,-1285,-489,-865,-415,-454,-1235,-330,-1603,-414,-7693,-1966,-217,-2393,-631,-1341,-2454,-202,-261,-217,-1446,-5745,-707,-258,-1663,-2623,-321,-1535,-123,2020-10-13
12,-207,-1704,-472,-6713,-1532,-523,-151,-998,-4237,-1528,-334,-204,-2327,-1083,-1135,-631,-774,-477,-521,-1179,-816,-1841,-1238,-370,-662,-375,-534,-859,-218,-1338,-301,-5855,-1456,-229,-2023,-807,-1092,-1967,-186,-517,-271,-1315,-5152,-846,-184,-1242,-2076,-318,-1255,-103,2020-10-28
13,-261,-1740,-480,-9112,-1694,-674,-146,-1371,-5659,-1751,-390,-273,-2365,-1307,-1079,-750,-961,-714,-639,-1105,-1206,-1826,-1301,-480,-842,-315,-454,-1120,-343,-1383,-376,-8177,-1678,-203,-2735,-894,-1430,-2688,-189,-833,-297,-1667,-5787,-632,-174,-1631,-2695,-252,-1494,-162,2020-11-12
